ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
58,Develop R scripts for running model in batch mode.,,,,,,"bmarron18
Robert Scheller"
59,Develop R scripts to run the model and subsequently generate LANDVIZ web sites.,,,,,,"bmarron18
Robert Scheller"
60,Integrate the Lichti seed dispersal code into LANDIS-II,,,"Bruce, this will require some careful design work.  A good mini-project for V or A.",,,"bmarron18
Robert Scheller"
61,[LANDIS-II-Foundation/Extension-Dynamic-Biomass-Fuels],"* Needs metadata (Issue #1)
* Move to Landis.Utilities (Issue #2)
",,,,,
62,[LANDIS-II-Foundation/Extension-Dynamic-Fire] --19,"* Restructure and Metadata (pull #3)
* Fix for Potentially Problematic Code (pull #3)
",,,,,
63,18 Apr 2017,"Brooke:

1) be able to select stands based on highest biomass. This used to be a feature but was removed some time ago (highest av biomass in stand?)
2) when I include SingleRepeat in a prescription, it functions (e.g., repeats 10 years later), but then that prescription is never again used anywhere on the landscape. It seems like a pretty weird bug

Chris Glidden:

Yes, these positions could fit as an Analyst Programmer classification. A temporary classified appointment can span the duration of 1 year or up to 1039 hours worked, whichever comes first

Austen:

errors in the code which prevent Biomass Browse from being built. Is this a known problem? Has it ever built? Also please add Landis.Library.BiomassCohorts-vBrowse to the support dll repo","Pull request #3 BaseFire ==> RMS approve? May fix QAQC run issues?
Biomass Harvest ==> Add issues from Brooke (see above)?
Post-graduation work ==> interested (see above)?
Lunch with Eric G.
Biomass Browse ==> needs major work (see above)?
Biomass Succession ==> change output anpp map output location (modify Outputs.cs)? Actually, can output maps and .csv files be sent to a folder(s) rather than getting mixed in with the scenario files?
tutorial time ==> can we bill for a few hrs of VS/C# tutorial?
Namespace change ==> what is needed, how to proceed.
Biomass Insects ==> help! runtime error: ""The filename template ""insects/{insectName}-{timestep}.img"" has an unknown variable: {timestep}""
Fire Brigade - anyone?",Biomass Insect theory #1:  only outputting for years when there is an outbreak.  theory #2:  outputs every year and therefore don't need timestep in the template.,,,
64,11 Apr 2017,No mtg ==> USIALE conference,,,,,
65,"Standardize README, \examples, outputs","See attached for standardization changes.

* README done? == 1
* GoldStd examples added? == 2
* Output nomenclature complete? == 3
* Extension-generated outputs sent to a folder? == 4
 ","Extension-Base-Harvest -- 1,2,3
Extension-Biomass-Insect --1,2,3 
Extension-Base-Wind -- 1,2,3
Extension-Base-Harvest -- 4
Extension-Biomass-Insect -- 4
Extension-Biomass-Harvest -- 1,2,3
Extension-Biomass-Harvest -- 4",,,,
66,[LANDIS-II-Foundation/Extension-Biomass-Browse],"* Needs to be migrated from extensions-disturbance\ sub-directory (issue #1)
* Missing Project Reference DLL ""Landis.Library.BiomassCohorts-vBrowse"" (issue #2)
* Incorrect Code Prevents Build (issue #3)",,Assigned to Austen,,,
67,template,,,,,,
69,[LANDIS-II-Foundation/Extension-Output-Age-Reclassification] --17(b),* Needs metadata output (#2),,,,,
70,[LANDIS-II-Foundation/Extension-Output-Age-Reclassification] --17(a),* Needs to be migrated over from extensions extensions-output (#1),,Passed first round standardization and QAQC-driven changes; needs Metadata ,,,
71,[LANDIS-II-Foundation/Library-Biomass-Harvest] --18,"* harvest prescriptions do not recognize 100% in Extension-Biomass-Harvest
*  ""Library.Biomass.Harvest-v2.dll"" is linked to Extension-Biomass-Harvest, through ""Landis.Extension.BiomassHarvest.dll""",,Passed QAQC,,,
74,25 Apr 2017,"* Bruce
Basically, these repos call inputs and outputs out of sequence in their respective _SetUp files. Confusing!
","post-metadata tasks ==> new priorities and task assignments? Go thru ToDo lists
BaseFire & BaseBDA & Biomass Insect==> is it possible to do src code change to correct input/output sequence in SetUp files (see above)?
Extension-Biomass-Insect -- 16(a)==> should have failed QAQC b/c I hadn't yet changed all references to the correct ecoregions in the PRISM weather data .csv. It ran just fine. This OK?
Additional support repos ==> we now have a standardized format for scenario examples packed with installers. These are coded based on the succession used. Create new support repo? Others?
Extension-Biomass-Insect -- 16(b) ==> needs QAQC?
https://github.com/dcyr ==> who is this French Canadian?!
Biomass Succession ==> can we move forward?
GitHub queries ==> command line options for you!
Extension-Biomass-Insect -- 16(c) ==> programming check to determine best soln (see issue comments in GitHub)?","Trello on Slack 

==> http://blog.trello.com/slack-power-up-trello-alerts
==> https://trello.com/c/SDmaAwz9/1579-trello-alerts-for-slack

Thanks Austen",,,
75,2 May 2017,,,,,,
